title,date,category,name,leaning
GTA 5 - Künstler nutzt Spiel für Statement gegen Waffengewalt in den USA,7-8-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amok in Florida: Waffenrecht in den USA und Deutschland,8-31-18,2nd Amendment,,Neutral
Auch Levi's fordert schÄrfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty International erklärt Waffengewalt in den USA zu Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Waffengewalt in den USA - Ausstellung der Künstlerin Kathy Shorr im d.a.i.,6-29-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Waffengewalt in den USA: Las Vegas-Überlebender wird bei Attentat in Kalifornien erschossen - das will seine Mutter der Welt sagen,11-11-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Tausende Soldaten an Südgrenze : Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
"Klinik gebracht worden sein. Laut Berichten, soll der Zustand der Verletzten allerdings stabil sein. Mehr Informationen zu dem Amoklauf in Jacksonville, erfahrt ihr oben im Video. Menschen in den USA fordern schärfere",8-27-18,Society/Culture,,Neutral
Donald Trumps Handelskrieg: Amoklauf des Protektionismus,7-6-18,Politics,,Neutral
Politik: Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
NEWS Erneut Amoklauf in den USA Texas: 10 Tote bei Schüssen an Schule,5-19-18,School/Public space safety,,Neutral
"Ärzte in den USA versuchen, woran Politiker scheitern: Die Waffengewalt stoppen",11-25-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Siegener Zeitung :: brennpunkte :: Trump droht illegalen Migranten mit Waffengewalt,11-3-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Christian Bale über Waffengewalt in den USA: „Wir Erwachsenen sollten uns schämen',5-31-18,Society/Culture,,Neutral
Schul-Massaker in Texas Debatte um Waffengewalt in den USA,5-19-18,Society/Culture,,Neutral
Waffengewalt in Amerika,9-6-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty International erklärt Waffengewalt in den USA zu Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Menschen an einer Schule in Texas ist ein Teenager des Mordes angeklagt worden. Die Tat des 17-Jährigen am Freitag in Santa Fe entfachte die Debatte über die Waffengesetze in den USA neu. Präsident Donald Trump,5-19-18,Politics,,Neutral
Auch Levi’s fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Austauschjahr in den USA bekommen. Nach dem Massaker in Florida und dem jüngsten Amoklauf an einer Schule in Texas würde ich das alles am liebsten absagen. Ich bin hin- und hergerissen. Das rät die Psychologin:,5-26-18,Society/Culture,,Neutral
Massendemo gegen Waffengewalt : Die Jugend marschiert gegen Trump,5-19-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt - Thema des Tages - Pforzheimer Zeitung,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Amoklauf in Newtown, USA: Kommen schärfere Waffeng...",8-3-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Kommentar Donald Trumps Handelskrieg Amoklauf des Protektionismus,7-6-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Immer wieder kommen in den USA Menschen durch Waffengewalt ums Leben. Allein im vergangenen Jahr waren es 15.000. Mit einer Twitter-Aktion haben sich nun zahlreiche Ärzte gegen den Gebrauch von Schusswaffen und,11-13-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Sorgen um ihre Sicherheit. Als Folge ihrer Angst vor Waffengewalt kaufen viele Amerikaner noch mehr Schusswaffen. Geschätzte 270 bis 310 Millionen Waffen sind im Besitz von US-Amerikanern. Von Beate Wild , Austin",9-4-18,Society/Culture,,Neutral
"USA verschärft Waffenrecht: ""Bump Stocks"" werden verboten",12-19-18,2nd Amendment,,Neutral
"Wählt sie ab! – Befürworter schärferer Waffengesetze in den USA geben nicht auf - Sputnik Deutschland, Widgets Magazine",8-7-18,Gun control/regulation,,Neutral
Doch ein illegales Gen-Experiment geht schief und George wird zu einer aggressiven Riesen-Bestie. Mit anderen Riesen-Tieren überfällt er eine amerikanische Großstadt. Während das Militär das Problem mit Waffengewalt,5-5-18,School/Public space safety,,Neutral
Auszeichnungen Menschenrechte Waffen Kriminalität Kinder Südafrika USA: US-Schüler gegen Waffengewalt bekommen Kinder-Friedenspreis,11-20-18,Public opinion,,Neutral
Menschen an einer Schule in Texas ist ein Teenager des Mordes angeklagt worden. Die Tat des 17-Jährigen am Freitag in Santa Fe entfachte die Debatte über die Waffengesetze in den USA neu. Präsident Donald Trump,5-19-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt | inSüdthüringen.de,11-2-18,Politics,,Neutral
German Rifle Association kämpft für amerikanische Verhältnisse bei Waffenrecht - FOCUS Online,6-2-18,2nd Amendment,,Neutral
NORDAMERIKA/121: Amnesty International erklärt Waffengewalt in den USA zu Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Kurzzeitig war er für schärfere Waffengesetze - jetzt ist er zurückgerudert: Auch das Parkland-Schulmassaker mit 17 Opfern hat Donald Trumps Meinung zum Recht auf Waffenbesitz nicht ändern können. 1 Bilder Video,5-7-18,Politics,,Neutral
Amnesty International erklärt Waffengewalt in den USA zu Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt - Themen des Tages - mittelhessen.de,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Wählt sie ab! – Befürworter schärferer Waffengesetze in den USA geben nicht auf,8-6-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
GTA 5 - Künstler nutzt Spiel für Statement gegen Waffengewalt in den USA,7-8-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
USA: US-Schüler gegen Waffengewalt bekommen Kinder-Friedenspreis,11-20-18,Public opinion,,Neutral
"GTA 5: Künstler nutzt Spiel, um auf Waffengewalt in den USA hinzuweisen",7-9-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
"Good - Ärzte in den USA versuchen, woran Politiker scheitern: Die Waffengewalt stoppen",11-25-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Waffengewalt in den USA Junge rührt Trumps Sprecherin fast zu Tränen,5-31-18,Politics,,Neutral
Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA,5-30-18,Politics,,Neutral
Aktuell Ausland Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-7-18,Gun control/regulation,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty erklärt Waffengewalt in den USA zu Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Waffengewalt in den USA 27-Jähriger überlebt Massaker von Las Vegas und wird bei Attentat in Kalifornien erschossen,11-11-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA,5-31-18,Politics,,Neutral
Werbung - Auch Levi's fordert schärfere Waffengesetze in den USA - UNTERNEHMEN-HEUTE.de,9-6-18,Economic consequences,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Waffen und Verantwortung: Erneut Schießerei in den USA - Friedemann Groth über das unterschiedliche Staatsverständnis von US-Amerikanern und Deutschen in Bezug auf das Waffenrecht,8-27-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt - DIE WELT,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Amnesty International erklärt Waffengewalt in den USA zu Menschenrechtskrise weitere Beiträge,9-13-18,2nd Amendment,,Neutral
+++ Ticker +++ News des Tages Russische Waffenrechtsaktivistin in den USA will illegale Infiltrierungen gestehen,12-11-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
News des Tages Russische Waffenrechtsaktivistin in den USA will illegale Infiltrierungen gestehen,12-10-18,2nd Amendment,,Neutral
Santa Fe High School : Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht | General-Anzeiger Bonn,5-19-18,School/Public space safety,,Neutral
Video über Waffengewalt: Ist das Amerika?,5-10-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
German Rifle Association „Waffenrecht ist Menschenrecht“: Deutsche Waffenlobby kämpft für amerikanische Verhältnisse,5-27-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Kapstadt - Die Schülerinitiative «March for our lives» («Marsch für unsere Leben») gegen Waffengewalt an Schulen in den USA ist mit dem renommierten internationalen Kinder-Friedenspreis ausgezeichnet worden.,11-20-18,Public opinion,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Foto: Kevin M. Cox/The Galveston County Daily News via AP 186 Postings Texas Acht Tote bei neuerlichem Amoklauf in US-Schule Sch&#252;ler als mutma&#223;licher T&#228;ter – Trump: Absolut schreckliche Tat,5-18-18,Politics,,Neutral
Auch Levi's fordert schärfere Waffengesetze in den USA,9-6-18,Gun control/regulation,,Neutral
"Philipp Mohr Feuer-Inferno von Kalifornien: Altengammer mittendrin Altengamme/Camarillo. Philipp Mohr (21) absolviert ein Auslandssemester in den USA. Nicht nur Waldbrand, auch Amoklauf in der Nähe.  mehr",11-15-18,Society/Culture,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-12-18,2nd Amendment,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Trump droht illegalen Migranten mit Waffengewalt,11-2-18,Politics,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Amnesty: Waffengewalt in den USA ist Menschenrechtskrise,9-13-18,2nd Amendment,,Neutral
Christian Bale über Waffengewalt in den USA: „Wir Erwachsenen sollten uns schämen“,5-31-18,Society/Culture,,Neutral
Waffengewalt US-Rapper erschossen: Trauer um Jimmy Wopo und XXXTentacion Innerhalb weniger Stunden sind in den USA gleich zwei Rapper getötet worden. Beide Musiker sind durch Schusswaffen ums Leben gekommen.  mehr,6-20-18,Public opinion,,Neutral
Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA Junge rührt Sarah Sanders mit Frage zu Waffengewalt in den USA,5-30-18,Politics,,Neutral
"Kommentar Donald Trumps Handelskrieg, Amoklauf des Protektionismus",7-6-18,Politics,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Massenprotest in den USA gegen Waffengewalt | Neue Presse Coburg,3-25-18,Public opinion,,Neutral
Schülerproteste in den USA gegen Schusswaffengewalt,3-14-18,Public opinion,,Neutral
USA vs. NRA: Trump rudert bei schärferen Waffengesetzen zurück,3-13-18,Politics,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Nach Amoklauf in Florida :  Massenproteste gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-21-18,Public opinion,,Neutral
"Hunderttausende demonstrieren für neue Waffengesetze - Die USA haben genug: ""Wenn unsere Führer sich wie Kinder verhalten, müssen Kinder führen""",3-25-18,Gun control/regulation,,Neutral
"mehr » Endlich sagt sie ihre Meinung: Taylor Swift spricht sich für schärfere Waffengesetze in den USA aus Zum ersten Mal wird Taylor politisch. Wurde auch langsam Zeit, oder? Seht ihren starken Post zum Thema Waffengewalt, hier.",3-24-18,Gun control/regulation,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Freie Presse,3-25-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Trump zu kleineren Korrekturen des Waffenrechts bereit,2-20-18,Politics,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
"Waffengesetze: Trump macht eine Aussage, die Waffengegnern gefallen dürfte",2-19-18,Politics,,Neutral
Schülerprotest gegen Waffengewalt in den USA,4-21-18,Public opinion,,Neutral
Trump erwägt schärfere Waffengesetze vor Treffen mit Überlebenden,2-21-18,Politics,,Neutral
Tausende demonstrieren am Columbine-Jahrestag in USA gegen Waffengewalt,4-20-18,Public opinion,,Neutral
Meldungen: Trump rückt von Forderung nach schärferem Waffenrecht ab,3-12-18,Politics,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
Hunderttausende demonstrieren in den USA für schärferes Waffenrecht,3-25-18,Public opinion,,Neutral
Massenproteste gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Tausende demonstrieren am Columbine-Jahrestag in USA gegen Waffengewalt,4-20-18,Public opinion,,Neutral
ROUNDUP: Trump will Waffenrecht verschärfen,3-1-18,Politics,,Neutral
Waffengesetze: Trump verteidigt schärfere Kontrollen bei Waffenkäufen,2-27-18,Gun control/regulation,,Neutral
Massenprotest gegen Waffengewalt bewegt Amerika,3-25-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht,2-22-18,Public opinion,,Neutral
Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,2-22-18,School/Public space safety,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht - Themen des Tages - mittelhessen.de,2-22-18,Public opinion,,Neutral
"Massenprotest in USA gegen Waffengewalt: ""Genug ist genug""",3-24-18,Public opinion,,Neutral
Massenproteste für schärfere Waffengesetze in den USA,3-25-18,Gun control/regulation,,Neutral
«Genug ist genug» – Massenprotest in den USA gegen Waffengewalt - Emder Zeitung,3-25-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht,3-24-18,Public opinion,,Neutral
Nach dem entsetzlichen Amoklauf mit 17 Toten an einer Schule in Florida scheint ein wenig Bewegung in die Waffen-Debatte in den USA gekommen zu sein. Ein Waffenlieber entschloss sich sogar zu einem drastischen Schritt,2-21-18,2nd Amendment,,Neutral
"Massenprotest in USA gegen Waffengewalt: ""Genug ist genug"" | Welt",3-25-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht,3-24-18,Public opinion,,Neutral
Massenproteste gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Einlenken nach Florida-Massaker: Trump zu Korrekturen des Waffenrechts bereit,2-21-18,Politics,,Neutral
«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Fotos USA: Hunderttausende demonstrieren gegen Waffengewalt,3-24-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
Hunderttausende demonstrieren in den USA gegen die Waffengewalt,3-24-18,Public opinion,,Neutral
Schüler in den USA demonstrieren für schärferes Waffenrecht | Haller Kreisblatt - Politik,2-22-18,Public opinion,,Neutral
Hunderttausende protestieren in den USA gegen Waffengewalt,3-25-18,Public opinion,,Neutral
Nach Amoklauf in den USA : Großdemonstration gegen Waffengewalt in Washington: Hunderttausende erwartet,3-26-18,Public opinion,,Neutral
Nach Amoklauf in Florida: Massenproteste gegen Waffengewalt in den USA,3-24-18,Public opinion,,Neutral
Massenprotest gegen Waffengewalt bewegt USA,3-25-18,Public opinion,,Neutral
